,age,taille,poids,revenu_estime_mois,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret,manquants
0,73,161.1,67.3,857,2.5351401010565,0.11,615.0,1377.97,13157.101646368172,1
6,22,170.8,60.9,714,0.0,0.46,772.0,699.57,500.0,0
8,61,175.2,58.5,1572,2.5351401010565,0.85,356.0,5000.0,4494.300952230585,1
9,28,161.6,81.2,500,2.0,0.66,356.0,10000.0,500.0,0
10,28,181.8,81.1,2847,2.5351401010565,0.37,611.0,518.38,22788.001263240207,1
11,24,169.1,68.1,3440,2.0,0.14,633.0,5231.748886883273,18070.091787237645,1
13,53,158.2,84.3,885,3.0,0.48,375.0,5000.0,12373.56023523041,0
14,57,158.9,57.3,3114,4.0,0.5,646.0,10000.0,20050.690685912497,0
16,45,188.0,87.6,1840,2.0,0.52,434.0,596.0,500.0,0
17,37,164.6,95.1,2050,5.0,0.5,634.0,5231.748886883273,500.0,1
28,58,172.7,76.4,3853,2.0,0.4,656.0,10000.0,500.0,0
30,66,156.9,73.7,1672,5.0,0.12,620.0,5231.748886883273,500.0,1
31,71,169.5,63.8,2267,2.5351401010565,0.12,818.0,10000.0,27822.25265661032,1
35,46,180.0,80.4,2214,3.0,0.86,464.0,10000.0,500.0,0
38,27,183.9,60.6,1788,2.5351401010565,0.9,461.0,10000.0,500.0,1
39,38,182.2,92.7,2125,2.5351401010565,0.93,786.0,10000.0,500.0,1
42,30,153.3,66.0,1809,4.0,0.28,763.0,5000.0,500.0,0
43,24,171.2,80.3,4370,2.5351401010565,0.15,804.0,10000.0,7915.101090898372,1
46,19,169.3,79.9,2124,2.5351401010565,0.53,511.0,5000.0,500.0,1
51,75,178.4,54.2,2714,2.5351401010565,0.88,734.0,10000.0,4704.9737016730005,1
52,39,190.1,82.8,2783,1.0,0.83,357.0,577.66,12733.330382969947,0
53,60,162.6,77.6,1788,2.5351401010565,0.56,726.0,5000.0,10540.674784050036,1
55,26,159.7,99.5,3008,4.0,0.05,484.0,5231.748886883273,500.0,1
56,28,160.2,92.5,500,0.0,0.4,805.0,5000.0,500.0,0
57,21,168.4,71.1,3695,2.5351401010565,0.17,777.0,5000.0,22775.8955135935,1
58,70,172.9,70.9,3304,2.5351401010565,0.28,497.0,5000.0,8853.723228062805,1
60,62,184.7,67.1,4278,5.0,0.7,455.0,10000.0,31072.702663736723,0
63,37,164.1,74.1,4525,2.0,0.81,761.0,949.24,10946.391315339892,0
66,34,181.6,66.8,1566,5.0,0.28,418.0,5231.748886883273,1992.4825524566772,1
67,55,172.2,91.8,3929,5.0,0.4,506.0,5231.748886883273,15002.912094814255,1
69,71,175.2,71.9,4747,2.5351401010565,0.12,400.0,5000.0,500.0,1
70,44,168.8,56.1,3214,2.0,0.82,402.0,5231.748886883273,10488.968596578909,1
72,60,165.9,67.6,3203,2.5351401010565,0.12,440.0,944.44,500.0,1
75,61,160.7,83.0,1598,2.5351401010565,0.39,321.0,10000.0,24759.669493278125,1
76,56,177.9,61.9,1770,3.0,0.83,352.0,185.52,4161.441442592443,0
80,34,163.0,81.6,2741,0.0,0.6,573.0,5231.748886883273,500.0,1
82,26,184.2,77.3,2663,2.0,0.51,843.0,748.46,500.0,0
84,40,155.4,82.9,2530,2.5351401010565,0.7,454.0,10000.0,500.0,1
85,43,177.3,83.2,2660,2.5351401010565,0.53,837.0,926.62,37114.160550787055,1
86,55,168.4,80.0,500,4.0,0.97,718.0,559.26,29358.17769561137,0
88,62,171.4,77.2,904,5.0,0.29,561.0,1065.43,6712.726721442828,0
93,42,173.8,71.8,2040,3.0,0.29,521.0,10000.0,15699.8867602253,0
96,30,179.1,71.9,5481,2.5351401010565,0.08,307.0,5000.0,22240.901666635506,1
100,71,155.9,37.0,4762,4.0,0.03,396.0,1486.62,500.0,0
103,18,170.9,61.7,1668,2.5351401010565,0.83,514.0,1149.82,25390.88273988203,1
105,41,154.1,97.5,1993,3.0,0.47,384.0,5231.748886883273,1281.9229939424142,1
112,73,178.7,79.1,2777,2.5351401010565,0.32,358.0,1172.07,500.0,1
117,25,164.8,42.6,3243,2.5351401010565,0.56,483.0,522.19,500.0,1
118,59,172.1,66.4,1484,2.5351401010565,0.25,486.0,5000.0,17717.330429437272,1
